d,v
2002-03-04,5.4726
2002-03-05,6.5327
2002-03-06,4.3902
2002-03-07,3.7383
2002-03-08,3.1818
2002-03-11,3.1111
2002-03-12,2.5316
2002-03-13,3.8627
2002-03-14,3.7975
2002-03-15,4.7009
2002-03-18,5.1724
2002-03-19,3.3613
2002-03-20,4.5267
2002-03-21,6.6946
2002-03-22,20.6226
2002-03-25,12.1495
2002-03-26,3.6789
2002-03-27,7.0175
2002-04-02,1.3841
2002-04-03,2.4138
2002-04-04,1.4286
2002-04-05,5.618
2002-04-08,3.3333
2002-04-09,1.8182
2002-04-10,1.083
2002-04-11,1.7921
2002-04-12,4.1958
2002-04-15,1.0274
2002-04-16,-1.0526
2002-04-17,2.847
2002-04-18,8.2474
2002-04-19,2.8846
2002-04-29,-2.3179
2002-04-30,3.7671
2002-05-02,3.6184
2002-05-03,1.2658
2002-05-06,1.5823
2002-05-07,1.8927
2002-05-08,1.8809
2002-05-09,1.2579
2002-05-10,4.0881
2002-05-13,0.9174
2002-05-14,1.227
2002-05-15,1.2384
2002-05-16,1.8634
2002-05-17,2.7027
2002-05-20,1.4205
2002-05-21,0.2865
2002-05-22,2.924
2002-05-23,2.9499
2002-05-24,4.0816
2002-05-27,2.6087
2002-05-28,2.6087
2002-05-29,2.2599
2002-05-30,1.6713
2002-05-31,1.1173
2002-06-03,1.6713
2002-06-04,1.385
2002-06-05,1.1019
2002-06-06,1.6484
2002-06-07,2.2039
2002-06-10,0.5666
2002-06-11,2.3121
2002-06-12,2.3188
2002-06-13,2.3055
2002-06-14,3.4286
2002-06-18,1.9943
2002-06-19,2.8249
2002-06-20,2.514
2002-06-21,3.022
2002-06-24,3.2345
2002-06-25,2.0779
2002-06-26,1.0336
2002-06-27,1.5748
2002-06-28,3.1579
2002-07-01,1.0554
2002-07-02,0.271
2002-07-03,1.676
2002-07-04,1.1236
2002-07-05,1.9608
2002-07-08,1.6997
2002-07-10,1.6997
2002-07-11,1.6854
2002-07-12,1.1142
2002-07-15,1.1142
2002-07-16,0.2786
2002-07-17,2.2857
2002-07-18,1.9774
2002-07-19,1.1173
2002-07-22,0.8333
2002-07-23,1.0989
2002-07-24,0.274
2002-07-25,0.8264
2002-07-26,0.5464
2002-07-29,0.5479
2002-07-30,0.5479
2002-07-31,0.8108
2002-08-01,0.551
2002-08-02,0.8287
2002-08-05,0.2762
2002-08-06,0.2762
2002-08-07,0.0
2002-08-08,-0.2747
2002-08-09,-0.2747
2002-08-12,0.0
2002-08-13,0.0
2002-08-14,0.0
2002-08-15,-0.2747
2002-08-16,0.0
2002-08-20,-0.2755
2002-08-21,0.0
2002-08-22,0.0
2002-08-23,0.5556
2002-08-26,0.5525
2002-08-27,0.0
2002-08-28,0.277
2002-08-29,0.554
2002-08-30,0.2755
2002-09-02,-0.2755
2002-09-03,0.0
2002-09-04,0.5495
2002-09-05,0.2762
2002-09-06,0.554
2002-09-09,1.108
2002-09-10,0.5525
2002-09-11,0.554
2002-09-12,1.105
2002-09-13,1.1019
2002-09-16,0.5495
2002-09-17,0.551
2002-09-18,0.551
2002-09-19,1.0959
2002-09-20,0.5464
2002-09-23,0.8219
2002-09-24,0.8197
2002-09-25,1.0899
2002-09-26,1.0899
2002-09-27,1.6216
2002-09-30,0.5362
2002-10-01,0.2674
2002-10-02,0.266
2002-10-03,0.8
2002-10-04,0.5348
2002-10-07,0.0
2002-10-08,0.2674
2002-10-09,0.5376
2002-10-10,0.813
2002-10-11,0.5391
2002-10-15,0.2717
2002-10-16,0.554
2002-10-17,1.1204
2002-10-18,1.3928
2002-10-21,0.831
2002-10-22,0.5525
2002-10-23,0.8333
2002-10-24,0.8333
2002-10-25,0.554
2002-10-28,0.5571
2002-10-29,0.2793
2002-10-30,0.0
2002-10-31,0.2841
2002-11-01,0.8523
2002-11-04,1.1299
2002-11-05,0.8475
2002-11-07,0.565
2002-11-08,1.1331
2002-11-11,0.8475
2002-11-12,0.8499
2002-11-13,0.5666
2002-11-14,1.4124
2002-11-15,1.6997
2002-11-18,0.8499
2002-11-19,1.1396
2002-11-20,1.1396
2002-11-21,1.4245
2002-11-22,1.7143
2002-11-25,1.4286
2002-11-26,1.7241
2002-11-27,1.1461
2002-11-28,1.6949
2002-11-29,1.6667
2002-12-02,0.8357
2002-12-03,1.1299
2002-12-04,1.1331
2002-12-05,1.7045
2002-12-06,1.6997
2002-12-09,1.1331
2002-12-10,0.5666
2002-12-11,0.5698
2002-12-12,0.8571
2002-12-13,1.4245
2002-12-16,0.565
2002-12-17,0.8475
2002-12-18,0.8547
2002-12-19,0.8621
2002-12-20,1.1527
2002-12-23,0.2882
2002-12-24,0.2899
2002-12-26,0.2933
2002-12-27,0.5882
2002-12-30,-0.295
2002-12-31,0.2976
